"Index Name","Date","Open","High","Low","Close"
"NIFTY500 SHARIAH","01 Jul 2024","-","-","-","7474.10"
"NIFTY500 SHARIAH","28 Jun 2024","-","-","-","7385.10"
"NIFTY500 SHARIAH","27 Jun 2024","-","-","-","7355.81"
"NIFTY500 SHARIAH","26 Jun 2024","-","-","-","7301.28"
"NIFTY500 SHARIAH","25 Jun 2024","-","-","-","7299.75"
"NIFTY500 SHARIAH","24 Jun 2024","-","-","-","7301.73"
"NIFTY500 SHARIAH","21 Jun 2024","-","-","-","7281.86"
"NIFTY500 SHARIAH","20 Jun 2024","-","-","-","7295.77"
"NIFTY500 SHARIAH","19 Jun 2024","-","-","-","7275.46"
"NIFTY500 SHARIAH","18 Jun 2024","-","-","-","7332.03"
"NIFTY500 SHARIAH","14 Jun 2024","-","-","-","7300.90"
"NIFTY500 SHARIAH","13 Jun 2024","-","-","-","7258.07"
"NIFTY500 SHARIAH","12 Jun 2024","-","-","-","7204.01"
"NIFTY500 SHARIAH","11 Jun 2024","-","-","-","7164.81"
"NIFTY500 SHARIAH","10 Jun 2024","-","-","-","7142.30"
"NIFTY500 SHARIAH","07 Jun 2024","-","-","-","7130.82"
"NIFTY500 SHARIAH","06 Jun 2024","-","-","-","6990.22"
"NIFTY500 SHARIAH","05 Jun 2024","-","-","-","6872.52"
"NIFTY500 SHARIAH","04 Jun 2024","-","-","-","6651.68"
"NIFTY500 SHARIAH","03 Jun 2024","-","-","-","6947.00"
"NIFTY500 SHARIAH","31 May 2024","-","-","-","6813.49"
"NIFTY500 SHARIAH","30 May 2024","-","-","-","6838.24"
"NIFTY500 SHARIAH","29 May 2024","-","-","-","6940.27"
"NIFTY500 SHARIAH","28 May 2024","-","-","-","6969.69"
"NIFTY500 SHARIAH","27 May 2024","-","-","-","6995.87"
"NIFTY500 SHARIAH","24 May 2024","-","-","-","6997.78"
"NIFTY500 SHARIAH","23 May 2024","-","-","-","7014.39"
"NIFTY500 SHARIAH","22 May 2024","-","-","-","6955.72"
"NIFTY500 SHARIAH","21 May 2024","-","-","-","6923.74"
"NIFTY500 SHARIAH","18 May 2024","-","-","-","6908.68"
"NIFTY500 SHARIAH","17 May 2024","-","-","-","6874.45"
"NIFTY500 SHARIAH","16 May 2024","-","-","-","6834.56"
"NIFTY500 SHARIAH","15 May 2024","-","-","-","6767.56"
"NIFTY500 SHARIAH","14 May 2024","-","-","-","6736.62"
"NIFTY500 SHARIAH","13 May 2024","-","-","-","6692.30"
"NIFTY500 SHARIAH","10 May 2024","-","-","-","6654.73"
"NIFTY500 SHARIAH","09 May 2024","-","-","-","6622.90"
"NIFTY500 SHARIAH","08 May 2024","-","-","-","6722.94"
"NIFTY500 SHARIAH","07 May 2024","-","-","-","6709.63"
"NIFTY500 SHARIAH","06 May 2024","-","-","-","6744.56"
"NIFTY500 SHARIAH","03 May 2024","-","-","-","6746.65"
"NIFTY500 SHARIAH","02 May 2024","-","-","-","6758.37"
"NIFTY500 SHARIAH","30 Apr 2024","-","-","-","6735.68"
"NIFTY500 SHARIAH","29 Apr 2024","-","-","-","6744.33"
"NIFTY500 SHARIAH","26 Apr 2024","-","-","-","6735.98"
"NIFTY500 SHARIAH","25 Apr 2024","-","-","-","6718.87"
"NIFTY500 SHARIAH","24 Apr 2024","-","-","-","6681.03"
"NIFTY500 SHARIAH","23 Apr 2024","-","-","-","6651.05"
"NIFTY500 SHARIAH","22 Apr 2024","-","-","-","6615.10"
"NIFTY500 SHARIAH","19 Apr 2024","-","-","-","6551.65"
"NIFTY500 SHARIAH","18 Apr 2024","-","-","-","6564.99"
"NIFTY500 SHARIAH","16 Apr 2024","-","-","-","6604.07"
"NIFTY500 SHARIAH","15 Apr 2024","-","-","-","6638.05"
"NIFTY500 SHARIAH","12 Apr 2024","-","-","-","6714.15"
"NIFTY500 SHARIAH","10 Apr 2024","-","-","-","6758.27"
